codepoint,edition,sequence,commons_title,page,side,rotation,crop_x0,crop_x1,x,y,w,h,render_width,frame_top,pitch,kind,score,juan,radical,similarity,status
3D082,ccz,C-00124,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,785,506,71,103,1920,503,83.98,headword,0.999,卷一上,6,0.902,approved
3D083,ccz,C-00125,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,701,527,66,86,1920,503,83.98,headword,0.999,卷一上,6,0.815,approved
3D084,ccz,C-00126,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,536,506,65,104,1920,503,83.98,headword,0.999,卷一上,6,0.908,approved
3D085,ccz,C-00127,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,451,506,68,103,1920,503,83.98,headword,1.0,卷一上,6,0.933,approved
3D086,ccz,C-00128,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,365,515,70,95,1920,503,83.98,inline,0.987,卷一上,6,0.942,approved
3D088,ccz,C-00129,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,283,506,63,105,1920,503,83.98,inline,0.997,卷一上,6,0.979,approved
3D089,ccz,C-00130,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,287,1543,67,103,1920,503,83.98,inline,0.978,卷一上,6,0.844,approved
3D08C,ccz,C-00132,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,113,513,68,96,1920,503,83.98,headword,1.0,卷一上,6,0.946,approved
3D08D,ccz,C-00133,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,116,1117,67,102,1920,503,83.98,inline,0.985,卷一上,6,0.967,approved
3D08E,ccz,C-00134,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,right,0.564,962,1920,28,511,72,100,1920,503,83.98,headword,1.0,卷一上,6,0.942,approved
3D090,ccz,C-00136,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,left,-0.33,0,962,790,513,62,99,1920,507,84.1,headword,0.998,卷一上,6,0.962,approved
3D091,ccz,C-00137,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,left,-0.33,0,962,616,513,70,100,1920,507,84.1,headword,0.958,卷一上,6,0.977,approved
3D092,ccz,C-00138,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,left,-0.33,0,962,532,510,68,102,1920,507,84.1,headword,0.999,卷一上,6,0.986,approved
3D093,ccz,C-00139,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,left,-0.33,0,962,446,515,71,98,1920,507,84.1,inline,0.995,卷一上,6,0.975,approved
3D094,ccz,C-00140,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,left,-0.33,0,962,364,512,70,97,1920,507,84.1,headword,1.0,卷一上,6,0.95,approved
3D095,ccz,C-00141,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,left,-0.33,0,962,195,534,71,80,1920,507,84.1,inline,0.876,卷一上,6,0.801,approved
3D096,ccz,C-00142,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,left,-0.33,0,962,111,511,72,100,1920,507,84.1,inline,0.92,卷一上,6,0.975,approved
3D097,ccz,C-00143,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,24,right,0.298,962,1920,791,527,64,81,1920,504,83.98,inline,0.957,卷一上,6,0.874,approved
3D098,ccz,C-00144,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,24,right,0.298,962,1920,622,510,62,102,1920,504,83.98,headword,1.0,卷一上,6,0.871,approved
3D099,ccz,C-00145,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,24,right,0.298,962,1920,537,509,71,104,1920,504,83.98,headword,0.998,卷一上,6,0.981,approved
3D09A,ccz,C-00146,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,24,right,0.298,962,1920,456,517,63,95,1920,504,83.98,inline,0.989,卷一上,6,0.963,approved
